zone_id,zone_name,lat,lng,district,zone_type,hour_of_day,day_of_week,is_weekend,crime_count_normalized,police_coverage_score,street_light_score,metro_access_score,footfall_score,sentiment_score,safety_score
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,13,0,0,0.7345,0.844,0.4,0.888,0.77,0.495,60.72
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,14,0,0,0.7345,0.844,0.4,0.888,0.768,0.332,60.15
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,15,0,0,0.7345,0.844,0.4,0.888,0.764,0.399,60.07
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,16,0,0,0.7345,0.844,0.4,0.888,0.713,0.42,63.52
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,17,0,0,0.7345,0.844,0.4,0.888,0.72,0.427,59.96
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,18,0,0,0.7345,0.844,0.4,0.888,0.757,0.456,58.16
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,19,0,0,0.7345,0.844,0.4,0.888,0.717,0.448,62.84
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,20,0,0,0.7345,0.844,0.4,0.888,0.756,0.468,60.05
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,21,0,0,0.7345,0.844,0.4,0.888,0.791,0.477,61.22
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,22,0,0,0.7345,0.844,0.4,0.888,0.323,0.251,48.61
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,23,0,0,0.7345,0.844,0.4,0.888,0.291,0.309,46.79
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,0,1,0,0.7345,0.844,0.4,0.888,0.3,0.241,50.64
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,1,1,0,0.7345,0.844,0.4,0.888,0.301,0.314,48.96
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,2,1,0,0.7345,0.844,0.4,0.888,0.338,0.217,44.47
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,3,1,0,0.7345,0.844,0.4,0.888,0.334,0.284,50.12
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,4,1,0,0.7345,0.844,0.4,0.888,0.268,0.196,49.28
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,5,1,0,0.7345,0.844,0.4,0.888,0.487,0.456,55.17
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,6,1,0,0.7345,0.844,0.4,0.888,0.412,0.44,54.13
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,7,1,0,0.7345,0.844,0.4,0.888,0.407,0.448,55.02
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,8,1,0,0.7345,0.844,0.4,0.888,0.453,0.359,56.0
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,9,1,0,0.7345,0.844,0.4,0.888,0.43,0.385,56.98
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,10,1,0,0.7345,0.844,0.4,0.888,0.712,0.436,62.17
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,11,1,0,0.7345,0.844,0.4,0.888,0.731,0.476,61.1
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,12,1,0,0.7345,0.844,0.4,0.888,0.763,0.406,60.93
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,13,1,0,0.7345,0.844,0.4,0.888,0.791,0.348,62.51
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,14,1,0,0.7345,0.844,0.4,0.888,0.764,0.34,62.03
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,15,1,0,0.7345,0.844,0.4,0.888,0.743,0.439,62.91
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,16,1,0,0.7345,0.844,0.4,0.888,0.743,0.383,57.19
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,17,1,0,0.7345,0.844,0.4,0.888,0.735,0.481,59.37
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,18,1,0,0.7345,0.844,0.4,0.888,0.796,0.389,62.42
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,19,1,0,0.7345,0.844,0.4,0.888,0.715,0.382,56.29
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,20,1,0,0.7345,0.844,0.4,0.888,0.707,0.456,62.48
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,21,1,0,0.7345,0.844,0.4,0.888,0.8,0.347,56.58
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,22,1,0,0.7345,0.844,0.4,0.888,0.251,0.235,48.64
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,23,1,0,0.7345,0.844,0.4,0.888,0.346,0.168,45.42
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,0,2,0,0.7345,0.844,0.4,0.888,0.296,0.172,48.22
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,1,2,0,0.7345,0.844,0.4,0.888,0.329,0.225,48.98
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,2,2,0,0.7345,0.844,0.4,0.888,0.311,0.251,46.69
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,3,2,0,0.7345,0.844,0.4,0.888,0.3,0.151,48.38
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,4,2,0,0.7345,0.844,0.4,0.888,0.348,0.181,49.2
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,5,2,0,0.7345,0.844,0.4,0.888,0.421,0.341,52.08
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,6,2,0,0.7345,0.844,0.4,0.888,0.418,0.399,53.19
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,7,2,0,0.7345,0.844,0.4,0.888,0.432,0.336,55.13
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,8,2,0,0.7345,0.844,0.4,0.888,0.411,0.453,56.73
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,9,2,0,0.7345,0.844,0.4,0.888,0.425,0.457,57.36
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,10,2,0,0.7345,0.844,0.4,0.888,0.751,0.485,63.72
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,11,2,0,0.7345,0.844,0.4,0.888,0.763,0.401,60.2
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,12,2,0,0.7345,0.844,0.4,0.888,0.775,0.379,61.4
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,13,2,0,0.7345,0.844,0.4,0.888,0.799,0.41,58.82
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,14,2,0,0.7345,0.844,0.4,0.888,0.727,0.424,61.03
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,15,2,0,0.7345,0.844,0.4,0.888,0.708,0.327,56.69
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,16,2,0,0.7345,0.844,0.4,0.888,0.774,0.488,60.12
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,17,2,0,0.7345,0.844,0.4,0.888,0.771,0.44,58.63
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,18,2,0,0.7345,0.844,0.4,0.888,0.714,0.315,59.83
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,19,2,0,0.7345,0.844,0.4,0.888,0.769,0.313,55.77
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,20,2,0,0.7345,0.844,0.4,0.888,0.738,0.458,58.64
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,21,2,0,0.7345,0.844,0.4,0.888,0.717,0.304,55.31
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,22,2,0,0.7345,0.844,0.4,0.888,0.338,0.277,52.08
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,23,2,0,0.7345,0.844,0.4,0.888,0.315,0.182,49.19
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,0,3,0,0.7345,0.844,0.4,0.888,0.312,0.322,48.16
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,1,3,0,0.7345,0.844,0.4,0.888,0.301,0.23,48.39
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,2,3,0,0.7345,0.844,0.4,0.888,0.328,0.293,50.35
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,3,3,0,0.7345,0.844,0.4,0.888,0.252,0.289,49.87
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,4,3,0,0.7345,0.844,0.4,0.888,0.281,0.298,50.46
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,5,3,0,0.7345,0.844,0.4,0.888,0.456,0.404,52.96
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,6,3,0,0.7345,0.844,0.4,0.888,0.433,0.338,53.03
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,7,3,0,0.7345,0.844,0.4,0.888,0.425,0.407,55.11
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,8,3,0,0.7345,0.844,0.4,0.888,0.47,0.352,55.15
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,9,3,0,0.7345,0.844,0.4,0.888,0.405,0.445,59.44
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,10,3,0,0.7345,0.844,0.4,0.888,0.747,0.38,63.52
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,11,3,0,0.7345,0.844,0.4,0.888,0.749,0.357,61.71
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,12,3,0,0.7345,0.844,0.4,0.888,0.745,0.413,62.86
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,13,3,0,0.7345,0.844,0.4,0.888,0.798,0.334,57.5
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,14,3,0,0.7345,0.844,0.4,0.888,0.706,0.378,59.94
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,15,3,0,0.7345,0.844,0.4,0.888,0.783,0.436,63.51
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,16,3,0,0.7345,0.844,0.4,0.888,0.799,0.309,61.23
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,17,3,0,0.7345,0.844,0.4,0.888,0.736,0.446,63.04
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,18,3,0,0.7345,0.844,0.4,0.888,0.781,0.481,60.4
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,19,3,0,0.7345,0.844,0.4,0.888,0.782,0.437,59.48
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,20,3,0,0.7345,0.844,0.4,0.888,0.708,0.314,55.15
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,21,3,0,0.7345,0.844,0.4,0.888,0.735,0.367,55.85
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,22,3,0,0.7345,0.844,0.4,0.888,0.256,0.186,46.28
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,23,3,0,0.7345,0.844,0.4,0.888,0.267,0.213,48.48
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,0,4,0,0.7345,0.844,0.4,0.888,0.276,0.285,48.85
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,1,4,0,0.7345,0.844,0.4,0.888,0.274,0.287,46.58
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,2,4,0,0.7345,0.844,0.4,0.888,0.34,0.313,45.93
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,3,4,0,0.7345,0.844,0.4,0.888,0.264,0.222,42.07
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,4,4,0,0.7345,0.844,0.4,0.888,0.27,0.153,46.21
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,5,4,0,0.7345,0.844,0.4,0.888,0.42,0.376,53.32
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,6,4,0,0.7345,0.844,0.4,0.888,0.442,0.403,56.67
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,7,4,0,0.7345,0.844,0.4,0.888,0.457,0.44,57.82
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,8,4,0,0.7345,0.844,0.4,0.888,0.464,0.348,57.29
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,9,4,0,0.7345,0.844,0.4,0.888,0.438,0.359,56.42
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,10,4,0,0.7345,0.844,0.4,0.888,0.717,0.324,57.25
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,11,4,0,0.7345,0.844,0.4,0.888,0.734,0.494,63.65
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,12,4,0,0.7345,0.844,0.4,0.888,0.772,0.358,57.88
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,13,4,0,0.7345,0.844,0.4,0.888,0.746,0.446,61.52
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,14,4,0,0.7345,0.844,0.4,0.888,0.763,0.325,56.67
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,15,4,0,0.7345,0.844,0.4,0.888,0.7,0.498,63.24
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,16,4,0,0.7345,0.844,0.4,0.888,0.789,0.384,62.25
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,17,4,0,0.7345,0.844,0.4,0.888,0.709,0.432,57.6
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,18,4,0,0.7345,0.844,0.4,0.888,0.725,0.336,57.79
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,19,4,0,0.7345,0.844,0.4,0.888,0.759,0.441,58.16
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,20,4,0,0.7345,0.844,0.4,0.888,0.758,0.369,56.15
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,21,4,0,0.7345,0.844,0.4,0.888,0.723,0.345,57.45
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,22,4,0,0.7345,0.844,0.4,0.888,0.32,0.235,45.85
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,23,4,0,0.7345,0.844,0.4,0.888,0.341,0.249,46.2
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,0,5,1,0.7345,0.844,0.4,0.888,0.38,0.305,43.59
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,1,5,1,0.7345,0.844,0.4,0.888,0.353,0.34,44.58
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,2,5,1,0.7345,0.844,0.4,0.888,0.423,0.321,49.37
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,3,5,1,0.7345,0.844,0.4,0.888,0.422,0.321,47.87
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,4,5,1,0.7345,0.844,0.4,0.888,0.411,0.308,45.45
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,5,5,1,0.7345,0.844,0.4,0.888,0.565,0.443,52.97
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,6,5,1,0.7345,0.844,0.4,0.888,0.546,0.41,52.97
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,7,5,1,0.7345,0.844,0.4,0.888,0.505,0.32,57.36
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,8,5,1,0.7345,0.844,0.4,0.888,0.501,0.318,52.26
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,9,5,1,0.7345,0.844,0.4,0.888,0.549,0.321,53.51
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,10,5,1,0.7345,0.844,0.4,0.888,0.854,0.414,62.18
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,11,5,1,0.7345,0.844,0.4,0.888,0.88,0.378,58.88
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,12,5,1,0.7345,0.844,0.4,0.888,0.869,0.39,63.4
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,13,5,1,0.7345,0.844,0.4,0.888,0.87,0.392,62.24
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,14,5,1,0.7345,0.844,0.4,0.888,0.809,0.427,60.04
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,15,5,1,0.7345,0.844,0.4,0.888,0.899,0.495,65.85
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,16,5,1,0.7345,0.844,0.4,0.888,0.868,0.43,63.28
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,17,5,1,0.7345,0.844,0.4,0.888,0.853,0.389,59.17
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,18,5,1,0.7345,0.844,0.4,0.888,0.809,0.474,57.74
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,19,5,1,0.7345,0.844,0.4,0.888,0.845,0.49,60.97
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,20,5,1,0.7345,0.844,0.4,0.888,0.873,0.339,59.26
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,21,5,1,0.7345,0.844,0.4,0.888,0.861,0.348,53.8
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,22,5,1,0.7345,0.844,0.4,0.888,0.355,0.232,48.4
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,23,5,1,0.7345,0.844,0.4,0.888,0.434,0.214,45.46
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,0,6,1,0.7345,0.844,0.4,0.888,0.445,0.187,46.57
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,1,6,1,0.7345,0.844,0.4,0.888,0.422,0.162,44.39
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,2,6,1,0.7345,0.844,0.4,0.888,0.378,0.19,47.29
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,3,6,1,0.7345,0.844,0.4,0.888,0.383,0.31,50.94
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,4,6,1,0.7345,0.844,0.4,0.888,0.387,0.2,48.05
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,5,6,1,0.7345,0.844,0.4,0.888,0.572,0.395,54.41
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,6,6,1,0.7345,0.844,0.4,0.888,0.503,0.487,57.19
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,7,6,1,0.7345,0.844,0.4,0.888,0.545,0.485,60.83
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,8,6,1,0.7345,0.844,0.4,0.888,0.548,0.307,58.15
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,9,6,1,0.7345,0.844,0.4,0.888,0.592,0.453,62.07
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,10,6,1,0.7345,0.844,0.4,0.888,0.869,0.493,63.99
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,11,6,1,0.7345,0.844,0.4,0.888,0.891,0.334,59.96
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,12,6,1,0.7345,0.844,0.4,0.888,0.865,0.316,57.73
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,13,6,1,0.7345,0.844,0.4,0.888,0.894,0.424,62.08
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,14,6,1,0.7345,0.844,0.4,0.888,0.822,0.325,62.66
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,15,6,1,0.7345,0.844,0.4,0.888,0.851,0.43,60.82
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,16,6,1,0.7345,0.844,0.4,0.888,0.846,0.464,63.17
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,17,6,1,0.7345,0.844,0.4,0.888,0.859,0.449,61.4
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,18,6,1,0.7345,0.844,0.4,0.888,0.808,0.306,60.82
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,19,6,1,0.7345,0.844,0.4,0.888,0.807,0.47,63.07
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,20,6,1,0.7345,0.844,0.4,0.888,0.837,0.466,59.63
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,21,6,1,0.7345,0.844,0.4,0.888,0.81,0.302,56.73
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,22,6,1,0.7345,0.844,0.4,0.888,0.377,0.252,51.26
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,23,6,1,0.7345,0.844,0.4,0.888,0.382,0.254,46.62
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,0,0,0,0.7345,0.844,0.4,0.888,0.348,0.338,48.71
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,1,0,0,0.7345,0.844,0.4,0.888,0.334,0.327,51.41
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,2,0,0,0.7345,0.844,0.4,0.888,0.348,0.33,49.78
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,3,0,0,0.7345,0.844,0.4,0.888,0.279,0.241,45.43
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,4,0,0,0.7345,0.844,0.4,0.888,0.308,0.27,47.32
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,5,0,0,0.7345,0.844,0.4,0.888,0.496,0.447,53.44
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,6,0,0,0.7345,0.844,0.4,0.888,0.404,0.314,54.71
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,7,0,0,0.7345,0.844,0.4,0.888,0.456,0.492,58.42
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,8,0,0,0.7345,0.844,0.4,0.888,0.428,0.36,57.35
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,9,0,0,0.7345,0.844,0.4,0.888,0.435,0.492,61.83
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,10,0,0,0.7345,0.844,0.4,0.888,0.763,0.305,59.38
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,11,0,0,0.7345,0.844,0.4,0.888,0.709,0.417,61.78
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,12,0,0,0.7345,0.844,0.4,0.888,0.764,0.356,61.65
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,13,0,0,0.7345,0.844,0.4,0.888,0.721,0.382,58.91
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,14,0,0,0.7345,0.844,0.4,0.888,0.701,0.36,59.14
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,15,0,0,0.7345,0.844,0.4,0.888,0.725,0.339,58.47
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,16,0,0,0.7345,0.844,0.4,0.888,0.736,0.38,60.11
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,17,0,0,0.7345,0.844,0.4,0.888,0.713,0.374,57.16
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,18,0,0,0.7345,0.844,0.4,0.888,0.712,0.376,60.87
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,19,0,0,0.7345,0.844,0.4,0.888,0.795,0.405,59.74
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,20,0,0,0.7345,0.844,0.4,0.888,0.75,0.437,62.11
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,21,0,0,0.7345,0.844,0.4,0.888,0.771,0.352,55.96
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,22,0,0,0.7345,0.844,0.4,0.888,0.317,0.243,48.51
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,23,0,0,0.7345,0.844,0.4,0.888,0.325,0.263,48.99
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,0,1,0,0.7345,0.844,0.4,0.888,0.347,0.186,48.42
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,1,1,0,0.7345,0.844,0.4,0.888,0.343,0.212,49.04
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,2,1,0,0.7345,0.844,0.4,0.888,0.258,0.252,44.18
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,3,1,0,0.7345,0.844,0.4,0.888,0.341,0.261,47.65
DL_001,Chandni Chowk,28.6507,77.23,Central Delhi,Commercial,4,1,0,0.7345,0.844,0.4,0.888,0.317,0.279,48.58
